date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:46	55834/55834	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd340d-da1a%22	https://demo.dashboardpack.com/marketing-html/accordion.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/accordion.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:47	51601/51601	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3428-c991%22	https://demo.dashboardpack.com/marketing-html/Scrollable.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Scrollable.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:48	29779/29779	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3425-7453%22	https://demo.dashboardpack.com/marketing-html/notification.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/notification.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:49	32895/32895	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3413-807f%22	https://demo.dashboardpack.com/marketing-html/carousel.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/carousel.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:50	33598/33598	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3426-833e%22	https://demo.dashboardpack.com/marketing-html/Pagination.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Pagination.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:51	888/888	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a1-378%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/8.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/8.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:52	35255/35255	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3417-89b7%22	https://demo.dashboardpack.com/marketing-html/data_table.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/data_table.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:53	52911/52911	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3411-ceaf%22	https://demo.dashboardpack.com/marketing-html/bootstrap_table.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/bootstrap_table.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:54	1457/1457	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a2-5b1%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/9.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/9.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:55	39452/39452	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3410-9a1c%22	https://demo.dashboardpack.com/marketing-html/basic_card.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/basic_card.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
